symbol,count,probability
о␠,19729,0.0222092390
и␠,16742,0.0188467271
е␠,15162,0.0170680968
а␠,14522,0.0163476389
␠н,13829,0.0155675182
␠с,13794,0.0155281181
␠п,13593,0.0153018493
␠в,13272,0.0149404947
то,12273,0.0138159050
␠о,10745,0.0120958119
␠и,9978,0.0112323882
я␠,9676,0.0108924221
ст,9613,0.0108215021
ь␠,9158,0.0103093016
␠к,9124,0.0102710272
на,9003,0.0101348157
не,8078,0.0090935289
го,7975,0.0089775803
ал,7865,0.0088537516
но,7511,0.0084552483
по,7468,0.0084068425
ко,7290,0.0082064652
л␠,7170,0.0080713794
й␠,7008,0.0078890135
ра,6998,0.0078777563
␠б,6675,0.0075141502
м␠,6674,0.0075130245
ов,6619,0.0074511102
ни,6512,0.0073306586
␠д,6511,0.0073295329
␠т,6481,0.0072957615
во,6387,0.0071899442
ка,6219,0.0070008240
ен,6205,0.0069850640
он,6055,0.0068162067
ла,5861,0.0065978179
ол,5827,0.0065595436
от,5789,0.0065167664
ро,5771,0.0064965035
ер,5766,0.0064908750
ос,5740,0.0064616064
ел,5526,0.0062207033
у␠,5518,0.0062116975
ор,5404,0.0060833660
ли,5399,0.0060777374
ре,5346,0.0060180745
в␠,5328,0.0059978116
пр,5249,0.0059088801
ло,5213,0.0058683543
␠м,5109,0.0057512799
та,4977,0.0056026855
ть,4854,0.0054642225
␠ч,4846,0.0054552168
ва,4794,0.0053966796
за,4482,0.0050454564
ом,4455,0.0050150621
ри,4423,0.0049790392
к␠,4344,0.0048901077
ат,4275,0.0048124333
ил,4214,0.0047437647
ан,4184,0.0047099932
␠г,4168,0.0046919818
н␠,4157,0.0046795989
ог,4013,0.0045174959
т␠,3941,0.0044364444
ск,3868,0.0043542671
ак,3834,0.0043159928
од,3823,0.0043036099
де,3796,0.0042732156
ве,3774,0.0042484499
те,3769,0.0042428213
␠е,3762,0.0042349413
ы␠,3652,0.0041111126
бы,3602,0.0040548268
да,3601,0.0040537011
␠р,3596,0.0040480726
␠з,3520,0.0039625182
␠у,3448,0.0038814667
ем,3432,0.0038634552
чт,3356,0.0037779009
ле,3340,0.0037598894
се,3270,0.0036810893
аз,3262,0.0036720836
ет,3223,0.0036281807
же,3171,0.0035696435
