symbol,count,probability
то,12635,0.0170160329
ст,9682,0.0130391160
на,9130,0.0122957167
ов,8564,0.0115334631
ал,8077,0.0108776017
го,8033,0.0108183453
он,8002,0.0107765964
не,7976,0.0107415812
но,7827,0.0105409173
ко,7668,0.0103267859
ен,7513,0.0101180416
по,7445,0.0100264634
ос,7426,0.0100008754
ра,7053,0.0094985422
от,6937,0.0093423206
ни,6669,0.0089813948
во,6625,0.0089221384
ка,6187,0.0083322672
ер,6146,0.0082770509
ол,6074,0.0081800858
ла,6074,0.0081800858
ло,6015,0.0081006283
ро,5886,0.0079268991
ли,5842,0.0078676426
ор,5833,0.0078555220
ел,5748,0.0077410492
ан,5715,0.0076966069
ре,5453,0.0073437616
пр,5224,0.0070353586
та,5010,0.0067471567
ом,4976,0.0067013676
ть,4954,0.0066717394
ак,4917,0.0066219101
ва,4870,0.0065586134
ат,4867,0.0065545732
ес,4703,0.0063337082
од,4594,0.0061869137
ог,4515,0.0060805215
ри,4487,0.0060428128
за,4479,0.0060320389
ил,4373,0.0058892847
ас,4351,0.0058596564
ем,4329,0.0058300282
ин,4215,0.0056765001
ск,4120,0.0055485600
ис,4079,0.0054933437
ав,4074,0.0054866101
об,3931,0.0052940265
ве,3917,0.0052751722
де,3889,0.0052374636
те,3871,0.0052132223
ив,3865,0.0052051418
ле,3748,0.0050475735
ет,3734,0.0050287192
да,3732,0.0050260257
аз,3611,0.0048630704
мо,3557,0.0047903466
бы,3547,0.0047768792
ит,3504,0.0047189695
ег,3475,0.0046799141
вс,3428,0.0046166174
ми,3392,0.0045681348
чт,3313,0.0044617425
же,3272,0.0044065263
ти,3232,0.0043526568
се,3223,0.0043405361
до,3171,0.0042705058
ль,3144,0.0042341438
ой,3119,0.0042004754
ам,2961,0.0039876908
им,2915,0.0039257409
ви,2895,0.0038988061
ед,2877,0.0038745648
ар,2807,0.0037802932
нн,2762,0.0037196900
ся,2710,0.0036496596
че,2699,0.0036348455
оп,2677,0.0036052173
ны,2663,0.0035863629
сь,2621,0.0035297999
ев,2597,0.0034974782
ня,2587,0.0034840109
ик,2581,0.0034759304
ме,2524,0.0033991664
ма,2497,0.0033628044
ие,2459,0.0033116284
ое,2451,0.0033008545
со,2441,0.0032873871
тв,2439,0.0032846937
тр,2412,0.0032483317
ад,2410,0.0032456383
ру,2402,0.0032348643
му,2401,0.0032335176
ки,2385,0.0032119698
ок,2360,0.0031783014
ыл,2358,0.0031756079
еп,2290,0.0030840297
ая,2268,0.0030544015
пе,2241,0.0030180396
ну,2228,0.0030005320
ди,2213,0.0029803309
хо,2184,0.0029412755
сл,2181,0.0029372353
вы,2161,0.0029103005
ид,2151,0.0028968331
ей,2147,0.0028914462
эт,2130,0.0028685517
ап,2082,0.0028039082
кн,2044,0.0027527322
ип,2002,0.0026961692
ше,1982,0.0026692344
оч,1981,0.0026678877
бо,1980,0.0026665410
из,1965,0.0026463399
др,1910,0.0025722693
оо,1868,0.0025157063
бе,1852,0.0024941585
лс,1831,0.0024658770
