symbol,count,probability
о␠,39419,0.0221873000
и␠,33355,0.0187741290
е␠,30257,0.0170303949
а␠,28997,0.0163211938
␠н,27837,0.0156682785
␠с,27799,0.0156468899
␠п,27213,0.0153170551
␠в,26450,0.0148875944
то,24551,0.0138187271
␠о,21530,0.0121183330
␠и,20135,0.0113331461
я␠,19265,0.0108434596
ст,19099,0.0107500252
␠к,18306,0.0103036788
ь␠,18123,0.0102006758
на,18092,0.0101832272
не,15886,0.0089415624
го,15841,0.0089162338
ал,15780,0.0088818994
но,15136,0.0085194189
по,14923,0.0083995301
ко,14684,0.0082650071
л␠,14203,0.0079942724
й␠,14023,0.0078929579
ра,13973,0.0078648150
␠б,13418,0.0075524288
м␠,13260,0.0074634973
ов,13235,0.0074494258
␠т,13052,0.0073464228
␠д,12972,0.0073013941
ни,12860,0.0072383540
во,12657,0.0071240939
ен,12470,0.0070188394
ка,12388,0.0069726851
он,12054,0.0067846905
ла,11939,0.0067199618
ол,11628,0.0065449130
от,11611,0.0065353444
ос,11579,0.0065173329
ер,11540,0.0064953815
ро,11407,0.0064205214
у␠,11219,0.0063147040
ор,10949,0.0061627324
ли,10923,0.0061480981
ре,10839,0.0061008180
ел,10823,0.0060918123
в␠,10734,0.0060417179
пр,10578,0.0059539121
ло,10494,0.0059066320
␠м,10048,0.0056555973
та,9859,0.0055492171
ть,9847,0.0055424629
␠ч,9791,0.0055109428
ва,9623,0.0054163827
за,8919,0.0050201306
ом,8841,0.0049762277
ри,8747,0.0049233190
к␠,8565,0.0048208789
ат,8468,0.0047662817
ил,8397,0.0047263187
␠г,8386,0.0047201273
ан,8363,0.0047071816
н␠,8188,0.0046086814
ог,7992,0.0044983612
т␠,7909,0.0044516440
де,7803,0.0043919811
ск,7781,0.0043795982
ак,7753,0.0043638382
од,7601,0.0042782838
ве,7581,0.0042670266
те,7566,0.0042585837
␠е,7487,0.0042141179
да,7305,0.0041116778
ы␠,7247,0.0040790320
␠з,7149,0.0040238719
бы,7136,0.0040165548
␠р,7033,0.0039585804
ем,7023,0.0039529518
␠у,6905,0.0038865346
ле,6647,0.0037413172
чт,6536,0.0036788400
аз,6473,0.0036433799
же,6471,0.0036422542
се,6429,0.0036186142
ой,6343,0.0035702084
до,6335,0.0035657055
ес,6320,0.0035572626
ет,6319,0.0035566998
ль,6224,0.0035032283
ас,6215,0.0034981626
ег,6147,0.0034598882
мо,6066,0.0034142967
ти,5786,0.0032566965
х␠,5730,0.0032251764
вс,5648,0.0031790221
ит,5637,0.0031728306
ав,5579,0.0031401849
ю␠,5567,0.0031334306
об,5535,0.0031154191
ми,5509,0.0031007848
че,5438,0.0030608219
