symbol,count,probability
то,25079,0.0168874194
ст,19555,0.0131677295
на,18164,0.0122310733
ов,17179,0.0115678049
ал,16219,0.0109213707
он,16090,0.0108345061
не,16018,0.0107860236
го,15936,0.0107308073
но,15662,0.0105463042
ко,15304,0.0103052381
ос,15015,0.0101106345
по,14927,0.0100513780
ен,14793,0.0099611466
ра,14046,0.0094581400
от,13765,0.0092689234
ни,13453,0.0090588322
во,13317,0.0089672541
ка,12510,0.0084238453
ер,12293,0.0082777243
ол,12231,0.0082359754
ла,12147,0.0081794124
ло,11945,0.0080433919
ор,11788,0.0079376730
ли,11757,0.0079167985
ро,11588,0.0078029992
ел,11384,0.0076656319
ан,11363,0.0076514912
ре,10874,0.0073222138
пр,10578,0.0071228966
ом,10099,0.0068003528
та,9998,0.0067323426
ть,9847,0.0066306639
ат,9785,0.0065889150
ва,9780,0.0065855482
ак,9704,0.0065343721
ес,9405,0.0063330348
од,9239,0.0062212556
ри,8962,0.0060347324
ог,8950,0.0060266519
за,8950,0.0060266519
ил,8883,0.0059815362
ас,8853,0.0059613352
ем,8725,0.0058751439
ин,8516,0.0057344098
ис,8214,0.0055310524
ск,8165,0.0054980573
ав,8154,0.0054906503
ве,7855,0.0052893130
де,7835,0.0052758456
об,7811,0.0052596847
те,7796,0.0052495842
ет,7634,0.0051404984
ив,7617,0.0051290512
ле,7487,0.0050415132
да,7330,0.0049357943
бы,7136,0.0048051607
аз,7117,0.0047923667
мо,7069,0.0047600450
ит,7046,0.0047445575
ег,7013,0.0047223363
вс,6797,0.0045768886
ми,6655,0.0044812702
чт,6549,0.0044098931
се,6526,0.0043944057
же,6484,0.0043661242
до,6441,0.0043371693
ой,6343,0.0042711791
ти,6331,0.0042630987
ль,6224,0.0041910482
ам,5945,0.0040031783
им,5898,0.0039715300
ед,5792,0.0039001529
ви,5770,0.0038853387
нн,5603,0.0037728861
ар,5601,0.0037715394
че,5439,0.0036624536
ся,5400,0.0036361922
ны,5349,0.0036018504
оп,5254,0.0035378804
сь,5216,0.0035122923
ня,5167,0.0034792973
ик,5160,0.0034745837
ев,5149,0.0034671766
ме,5137,0.0034590962
ма,4970,0.0033466436
ие,4956,0.0033372164
тв,4955,0.0033365431
со,4908,0.0033048947
ое,4886,0.0032900806
тр,4870,0.0032793067
ру,4862,0.0032739197
ад,4820,0.0032456383
ки,4742,0.0031931155
ок,4733,0.0031870552
му,4731,0.0031857084
ыл,4627,0.0031156780
еп,4590,0.0030907634
ая,4579,0.0030833563
ди,4455,0.0029998586
ну,4425,0.0029796575
вы,4423,0.0029783108
пе,4414,0.0029722505
хо,4406,0.0029668635
ей,4340,0.0029224212
сл,4301,0.0028961598
ид,4239,0.0028544109
эт,4222,0.0028429636
ап,4112,0.0027688930
кн,4078,0.0027459985
оч,4016,0.0027042496
из,3957,0.0026645209
бо,3940,0.0026530736
ше,3921,0.0026402796
ип,3915,0.0026362394
др,3807,0.0025635155
оо,3677,0.0024759776
бе,3654,0.0024604901
лс,3621,0.0024382689
ои,3604,0.0024268216
ча,3600,0.0024241282
еб,3575,0.0024072939
уд,3572,0.0024052738
ож,3528,0.0023756456
ьн,3502,0.0023581380
св,3493,0.0023520777
ян,3473,0.0023386103
сп,3447,0.0023211027
ее,3358,0.0022611729
ят,3335,0.0022456854
ии,3298,0.0022207707
ьс,3192,0.0021493936
ез,3175,0.0021379464
ек,3164,0.0021305393
ия,3155,0.0021244790
ус,3127,0.0021056247
яс,3112,0.0020955241
ля,3087,0.0020786899
ио,3069,0.0020665693
мн,3043,0.0020490617
ич,3042,0.0020483883
зн,3011,0.0020275139
ши,3003,0.0020221269
дн,2999,0.0020194334
ьк,2978,0.0020052927
их,2975,0.0020032726
кр,2960,0.0019931720
ье,2917,0.0019642172
ду,2894,0.0019487297
ут,2877,0.0019372824
вн,2811,0.0018928401
ры,2808,0.0018908200
ео,2783,0.0018739857
ым,2763,0.0018605184
ту,2756,0.0018558048
яз,2755,0.0018551314
ый,2685,0.0018079956
ку,2677,0.0018026086
са,2653,0.0017864478
си,2633,0.0017729804
гл,2604,0.0017534527
