symbol,count,probability
␠,291577,0.1641163584
о,169910,0.0956351511
е,122390,0.0688881534
а,122235,0.0688009105
и,98446,0.0554110887
н,97600,0.0549349111
т,86266,0.0485554820
с,78093,0.0439552461
л,75331,0.0424006331
в,67304,0.0378825744
р,66048,0.0371756251
к,51372,0.0289151256
д,45146,0.0254107735
м,44384,0.0249818760
у,41308,0.0232505257
п,38548,0.0216970385
я,33325,0.0187572327
ь,29491,0.0165992363
г,29259,0.0164686533
ы,28716,0.0161630216
б,26424,0.0148729518
з,25244,0.0142087797
ч,21633,0.0121763005
й,17204,0.0096834038
ж,15474,0.0087096600
ш,13737,0.0077319762
х,12853,0.0072344100
ю,9469,0.0053296995
ц,5299,0.0029825829
э,4745,0.0026707598
щ,4229,0.0023803252
ф,2922,0.0016446702
ъ,656,0.0003692346
ё,10,0.0000056286
