symbol,count,probability
о,169910,0.1144120382
е,122390,0.0824135681
а,122235,0.0823091960
и,98446,0.0662904333
н,97600,0.0657207635
т,86266,0.0580888052
с,78093,0.0525853646
л,75331,0.0507255209
в,67304,0.0453203921
р,66048,0.0444746413
к,51372,0.0345922855
д,45146,0.0303998933
м,44384,0.0298867866
у,41308,0.0278155051
п,38548,0.0259570081
я,33325,0.0224400046
ь,29491,0.0198583098
г,29259,0.0197020883
ы,28716,0.0193364492
б,26424,0.0177930887
з,25244,0.0169985139
ч,21633,0.0145669803
й,17204,0.0115846313
ж,15474,0.0104197038
ш,13737,0.0092500628
х,12853,0.0086548051
ю,9469,0.0063761261
ц,5299,0.0035681796
э,4745,0.0031951334
щ,4229,0.0028476753
ф,2922,0.0019675827
ъ,656,0.0004417297
ё,10,0.0000067337
